CountryName,CountryCode,Pop
Turks and Caicos Islands,TCA,36.73684211
Chad,TCD,11.47755956
Togo,TGO,139.848759
Thailand,THA,134.7912741
Tajikistan,TJK,62.93827187
Turkmenistan,TKM,12.0497606
Timor-Leste,TLS,85.31748487
Middle East & North Africa (IDA & IBRD countries),TMN,42.75116745
Tonga,TON,148.7805556
South Asia (IDA & IBRD),TSA,370.1886085
Trinidad and Tobago,TTO,266.0744639
Tunisia,TUN,73.39886715
Turkey,TUR,103.3125346
Tuvalu,TUV,369.9
Tanzania,TZA,62.73673628
Uganda,UGA,206.9018801
Ukraine,UKR,77.68931796
Uruguay,URY,19.6777854
United States,USA,35.32444263
Uzbekistan,UZB,74.86647861
St. Vincent and the Grenadines,VCT,281.1358974
"Venezuela, RB",VEN,35.78955728
British Virgin Islands,VGB,204.4066667
Virgin Islands (U.S.),VIR,294.1457143
Vietnam,VNM,298.9682975
Vanuatu,VUT,22.18228056
Samoa,WSM,68.94876325
Kosovo,XKX,166.8228162
"Yemen, Rep.",YEM,52.24579616
South Africa,ZAF,46.08797781
Zambia,ZMB,22.31855419
Zimbabwe,ZWE,41.74838309
