name,mass,fall,year,reclat,reclong
Perth,2,Fell,1830,56.4,-3.43333
Vouillé,20000,Fell,1831,46.63333,0.16667
Wessely,3750,Fell,1831,48.95,17.38333
Walker County,74800,Found,1832,34,-87.16667
Blansko,470,Fell,1833,49.36667,16.63333
Charwallas,12000,Fell,1834,29.48333,75.5
Lime Creek,20000,Found,1834,31.55,-87.51667
Okniny,12000,Fell,1834,50.83333,25.5
Charlotte,4300,Fell,1835,36.16667,-87.33333
Aldsworth,700,Fell,1835,51.78333,-1.78333
Gibeon,26000000,Found,1836,-25.5,18
Macau,1500,Fell,1836,-5.2,-36.66667
Wichita County,145000,Found,1836,34.06667,-98.91667
Aubres,800,Fell,1836,44.38333,5.16667
Mascombes,1000,Fell,1836,45.36667,1.86667
Coahuila,2100000,Found,1837,28.7,-102.73333
Cosby's Creek,960000,Found,1837,35.78333,-83.25
Yonozu,31650,Fell,1837,37.75,139
Esnandes,1500,Fell,1837,46.25,-1.1
Gross-Divina,10500,Fell,1837,49.26667,18.71667
Cold Bokkeveld,5200,Fell,1838,-33.13333,19.38333
Chandakapur,8800,Fell,1838,20.26667,76.01667
Kaee,230,Fell,1838,27.25,79.96667
Akbarpur,1800,Fell,1838,29.71667,77.95
Montlivault,500,Fell,1838,47.63333,1.58333
Simbirsk (of P. Partsch),1500,Found,1838,54.3,48.4
Slobodka (of P. Partsch),950,Found,1838,55,35
Putnam County,32700,Found,1839,33.25,-83.25
Asheville,800,Found,1839,35.58333,-82.53333
Black Mountain,800,Found,1839,35.58333,-82.35
Smithland,5000,Found,1839,37.13333,-88.4
Little Piney,491,Fell,1839,37.91667,-92.08333
Smithville,70500,Found,1840,35.98333,-85.85
Carthage,127000,Found,1840,36.26667,-85.98333
Cereseto,6460,Fell,1840,45.08333,8.3
Karakol,3000,Fell,1840,47.21667,81.01667
Magura,150000,Found,1840,49.33333,19.48333
Uden,710,Fell,1840,51.65,5.61667
Abo,1.2,Found,1840,60.43333,22.3
St. Christophe-la-Chartreuse,5500,Fell,1841,46.95,-1.5
Château-Renard,30000,Fell,1841,47.93333,2.91667
Grüneberg,1000,Fell,1841,51.93333,15.5
Petropavlovsk,7000,Found,1841,53.35,87.18333
Babb's Mill (Troost's Iron),6400,Found,1842,36.3,-82.88333
Barea,3200,Fell,1842,42.38333,-2.5
Aumieres,2000,Fell,1842,44.33333,3.23333
Milena,10000,Fell,1842,46.18333,16.1
Manegaon,50,Fell,1843,20.96667,76.1
Bishopville,6000,Fell,1843,34.16667,-80.28333
