name,mass,fall,year,reclat,reclong
Yamato 790720,1.79,Found,1979,-71.5,35.66667
Yamato 790904,1.79,Found,1979,-71.5,35.66667
Yamato 791335,1.79,Found,1979,-71.5,35.66667
Yamato 793490,1.79,Found,1979,-71.5,35.66667
Yamato 793391,1.8,Found,1979,-71.5,35.66667
Yamato 790588,1.81,Found,1979,-71.5,35.66667
Yamato 790920,1.81,Found,1979,-71.5,35.66667
Yamato 790930,1.81,Found,1979,-71.5,35.66667
Yamato 792626,1.81,Found,1979,-71.5,35.66667
Yamato 793307,1.81,Found,1979,-71.5,35.66667
Yamato 790343,1.82,Found,1979,-71.5,35.66667
Yamato 791627,1.82,Found,1979,-71.5,35.66667
Yamato 792620,1.82,Found,1979,-71.5,35.66667
Yamato 792696,1.83,Found,1979,-71.5,35.66667
Yamato 790701,1.84,Found,1979,-71.5,35.66667
Yamato 791333,1.84,Found,1979,-71.5,35.66667
Yamato 791334,1.84,Found,1979,-71.5,35.66667
Yamato 791742,1.84,Found,1979,-71.5,35.66667
Yamato 790218,1.85,Found,1979,-71.5,35.66667
Yamato 793179,1.85,Found,1979,-71.5,35.66667
Yamato 793493,1.85,Found,1979,-71.5,35.66667
Yamato 790039,1.86,Found,1979,-71.5,35.66667
Yamato 790721,1.86,Found,1979,-71.5,35.66667
Yamato 791129,1.86,Found,1979,-71.5,35.66667
Yamato 793009,1.86,Found,1979,-71.5,35.66667
Yamato 790679,1.87,Found,1979,-71.5,35.66667
Yamato 792632,1.87,Found,1979,-71.5,35.66667
Yamato 790100,1.88,Found,1979,-71.5,35.66667
Yamato 791134,1.88,Found,1979,-71.5,35.66667
Yamato 794082,1.88,Found,1979,-71.5,35.66667
Yamato 790903,1.89,Found,1979,-71.5,35.66667
Yamato 790913,1.89,Found,1979,-71.5,35.66667
Yamato 792654,1.89,Found,1979,-71.5,35.66667
Yamato 791132,1.9,Found,1979,-71.5,35.66667
Yamato 791549,1.9,Found,1979,-71.5,35.66667
Yamato 790663,1.91,Found,1979,-71.5,35.66667
Yamato 790922,1.91,Found,1979,-71.5,35.66667
Yamato 791622,1.91,Found,1979,-71.5,35.66667
Yamato 791763,1.91,Found,1979,-71.5,35.66667
Yamato 792974,1.91,Found,1979,-71.5,35.66667
Yamato 790907,1.92,Found,1979,-71.5,35.66667
Yamato 791596,1.92,Found,1979,-71.5,35.66667
Yamato 793335,1.92,Found,1979,-71.5,35.66667
Yamato 790916,1.94,Found,1979,-71.5,35.66667
Yamato 792625,1.94,Found,1979,-71.5,35.66667
Yamato 792998,1.94,Found,1979,-71.5,35.66667
Yamato 791899,1.95,Found,1979,-71.5,35.66667
Yamato 792735,1.96,Found,1979,-71.5,35.66667
Yamato 793324,1.97,Found,1979,-71.5,35.66667
Yamato 790909,1.98,Found,1979,-71.5,35.66667
Yamato 791901,1.98,Found,1979,-71.5,35.66667
Yamato 792954,1.98,Found,1979,-71.5,35.66667
Yamato 790670,1.99,Found,1979,-71.5,35.66667
Yamato 791447,1.99,Found,1979,-71.5,35.66667
Yamato 794034,1.99,Found,1979,-71.5,35.66667
Yamato 790482,2,Found,1979,-71.5,35.66667
Yamato 790718,2,Found,1979,-71.5,35.66667
Yamato 792631,2,Found,1979,-71.5,35.66667
Yamato 793000,2,Found,1979,-71.5,35.66667
Yamato 793269,2,Found,1979,-71.5,35.66667
Yamato 793305,2,Found,1979,-71.5,35.66667
Yamato 790675,2.01,Found,1979,-71.5,35.66667
Yamato 791749,2.01,Found,1979,-71.5,35.66667
Yamato 794027,2.02,Found,1979,-71.5,35.66667
Yamato 790673,2.03,Found,1979,-71.5,35.66667
Yamato 792655,2.03,Found,1979,-71.5,35.66667
Yamato 793263,2.03,Found,1979,-71.5,35.66667
Yamato 790691,2.04,Found,1979,-71.5,35.66667
Yamato 791898,2.04,Found,1979,-71.5,35.66667
Yamato 792973,2.04,Found,1979,-71.5,35.66667
Yamato 793182,2.04,Found,1979,-71.5,35.66667
Yamato 790221,2.05,Found,1979,-71.5,35.66667
Yamato 791359,2.05,Found,1979,-71.5,35.66667
Yamato 790341,2.06,Found,1979,-71.5,35.66667
Yamato 790894,2.06,Found,1979,-71.5,35.66667
Yamato 791601,2.06,Found,1979,-71.5,35.66667
Yamato 790217,2.07,Found,1979,-71.5,35.66667
Yamato 792621,2.07,Found,1979,-71.5,35.66667
Yamato 792981,2.07,Found,1979,-71.5,35.66667
Yamato 793360,2.09,Found,1979,-71.5,35.66667
Yamato 793462,2.09,Found,1979,-71.5,35.66667
Yamato 790095,2.1,Found,1979,-71.5,35.66667
Yamato 790307,2.1,Found,1979,-71.5,35.66667
Yamato 790895,2.1,Found,1979,-71.5,35.66667
Yamato 791082,2.1,Found,1979,-71.5,35.66667
Yamato 791548,2.1,Found,1979,-71.5,35.66667
Yamato 793268,2.1,Found,1979,-71.5,35.66667
Yamato 791155,2.11,Found,1979,-71.5,35.66667
Yamato 792759,2.11,Found,1979,-71.5,35.66667
Yamato 790678,2.12,Found,1979,-71.5,35.66667
Yamato 793494,2.12,Found,1979,-71.5,35.66667
Yamato 790131,2.13,Found,1979,-71.5,35.66667
Yamato 790300,2.13,Found,1979,-71.5,35.66667
Yamato 791481,2.13,Found,1979,-71.5,35.66667
Yamato 792802,2.13,Found,1979,-71.5,35.66667
Yamato 790902,2.14,Found,1979,-71.5,35.66667
Yamato 791360,2.14,Found,1979,-71.5,35.66667
Yamato 791378,2.14,Found,1979,-71.5,35.66667
Yamato 791858,2.14,Found,1979,-71.5,35.66667
Yamato 793306,2.14,Found,1979,-71.5,35.66667
Yamato 792982,2.15,Found,1979,-71.5,35.66667
Yamato 793247,2.15,Found,1979,-71.5,35.66667
Yamato 793407,2.15,Found,1979,-71.5,35.66667
Yamato 790910,2.16,Found,1979,-71.5,35.66667
Yamato 791086,2.16,Found,1979,-71.5,35.66667
Yamato 792977,2.16,Found,1979,-71.5,35.66667
Yamato 792995,2.16,Found,1979,-71.5,35.66667
Yamato 790889,2.17,Found,1979,-71.5,35.66667
Yamato 791953,2.17,Found,1979,-71.5,35.66667
Yamato 792896,2.17,Found,1979,-71.5,35.66667
Yamato 790908,2.18,Found,1979,-71.5,35.66667
Yamato 793454,2.18,Found,1979,-71.5,35.66667
Yamato 790093,2.19,Found,1979,-71.5,35.66667
Yamato 790303,2.19,Found,1979,-71.5,35.66667
Yamato 790308,2.19,Found,1979,-71.5,35.66667
Yamato 791127,2.19,Found,1979,-71.5,35.66667
Yamato 791204,2.19,Found,1979,-71.5,35.66667
Yamato 790680,2.2,Found,1979,-71.5,35.66667
Yamato 791293,2.2,Found,1979,-71.5,35.66667
Yamato 791900,2.2,Found,1979,-71.5,35.66667
Yamato 793208,2.2,Found,1979,-71.5,35.66667
Yamato 790674,2.21,Found,1979,-71.5,35.66667
Yamato 790900,2.21,Found,1979,-71.5,35.66667
Yamato 791515,2.21,Found,1979,-71.5,35.66667
Yamato 792651,2.21,Found,1979,-71.5,35.66667
Yamato 790713,2.22,Found,1979,-71.5,35.66667
Yamato 790876,2.22,Found,1979,-71.5,35.66667
Yamato 790898,2.22,Found,1979,-71.5,35.66667
Yamato 793277,2.23,Found,1979,-71.5,35.66667
Yamato 790668,2.24,Found,1979,-71.5,35.66667
Yamato 790298,2.25,Found,1979,-71.5,35.66667
Yamato 790921,2.25,Found,1979,-71.5,35.66667
Yamato 792612,2.25,Found,1979,-71.5,35.66667
Yamato 792972,2.25,Found,1979,-71.5,35.66667
Yamato 790098,2.26,Found,1979,-71.5,35.66667
Yamato 791690,2.26,Found,1979,-71.5,35.66667
Yamato 790879,2.27,Found,1979,-71.5,35.66667
Yamato 791332,2.27,Found,1979,-71.5,35.66667
Yamato 792613,2.27,Found,1979,-71.5,35.66667
Yamato 790305,2.28,Found,1979,-71.5,35.66667
Yamato 792623,2.29,Found,1979,-71.5,35.66667
Yamato 790381,2.3,Found,1979,-71.5,35.66667
Yamato 792629,2.3,Found,1979,-71.5,35.66667
Yamato 793196,2.3,Found,1979,-71.5,35.66667
Yamato 792843,2.31,Found,1979,-71.5,35.66667
Yamato 790671,2.32,Found,1979,-71.5,35.66667
Yamato 791390,2.32,Found,1979,-71.5,35.66667
Yamato 791649,2.32,Found,1979,-71.5,35.66667
Yamato 792630,2.32,Found,1979,-71.5,35.66667
Yamato 792970,2.32,Found,1979,-71.5,35.66667
Yamato 791896,2.33,Found,1979,-71.5,35.66667
Yamato 790220,2.34,Found,1979,-71.5,35.66667
Yamato 790431,2.34,Found,1979,-71.5,35.66667
Yamato 793559,2.34,Found,1979,-71.5,35.66667
Yamato 790395,2.35,Found,1979,-71.5,35.66667
Yamato 790689,2.35,Found,1979,-71.5,35.66667
Yamato 791331,2.35,Found,1979,-71.5,35.66667
Yamato 790669,2.36,Found,1979,-71.5,35.66667
Yamato 790423,2.37,Found,1979,-71.5,35.66667
Yamato 790716,2.37,Found,1979,-71.5,35.66667
Yamato 790918,2.37,Found,1979,-71.5,35.66667
Yamato 791300,2.37,Found,1979,-71.5,35.66667
Yamato 791356,2.37,Found,1979,-71.5,35.66667
Yamato 792346,2.37,Found,1979,-71.5,35.66667
Yamato 792912,2.37,Found,1979,-71.5,35.66667
Yamato 790223,2.38,Found,1979,-71.5,35.66667
Yamato 790666,2.38,Found,1979,-71.5,35.66667
Yamato 791176,2.39,Found,1979,-71.5,35.66667
Yamato 791302,2.39,Found,1979,-71.5,35.66667
Yamato 790844,2.4,Found,1979,-71.5,35.66667
Yamato 790915,2.4,Found,1979,-71.5,35.66667
Yamato 790979,2.4,Found,1979,-71.5,35.66667
Yamato 793442,2.4,Found,1979,-71.5,35.66667
Yamato 793327,2.42,Found,1979,-71.5,35.66667
Yamato 793504,2.42,Found,1979,-71.5,35.66667
Yamato 791895,2.43,Found,1979,-71.5,35.66667
Yamato 791542,2.44,Found,1979,-71.5,35.66667
Yamato 791621,2.44,Found,1979,-71.5,35.66667
Yamato 792997,2.44,Found,1979,-71.5,35.66667
Yamato 790091,2.45,Found,1979,-71.5,35.66667
Yamato 790712,2.45,Found,1979,-71.5,35.66667
Yamato 792618,2.45,Found,1979,-71.5,35.66667
Yamato 790097,2.46,Found,1979,-71.5,35.66667
Yamato 790886,2.46,Found,1979,-71.5,35.66667
Yamato 791130,2.46,Found,1979,-71.5,35.66667
Yamato 790684,2.47,Found,1979,-71.5,35.66667
Yamato 790700,2.47,Found,1979,-71.5,35.66667
Yamato 790880,2.47,Found,1979,-71.5,35.66667
Yamato 791304,2.48,Found,1979,-71.5,35.66667
Yamato 791522,2.48,Found,1979,-71.5,35.66667
Yamato 790905,2.49,Found,1979,-71.5,35.66667
Yamato 791303,2.49,Found,1979,-71.5,35.66667
Yamato 793320,2.49,Found,1979,-71.5,35.66667
Yamato 792608,2.5,Found,1979,-71.5,35.66667
Yamato 790245,2.51,Found,1979,-71.5,35.66667
Yamato 790899,2.51,Found,1979,-71.5,35.66667
Yamato 791306,2.51,Found,1979,-71.5,35.66667
Yamato 792971,2.51,Found,1979,-71.5,35.66667
Yamato 793197,2.51,Found,1979,-71.5,35.66667
Yamato 793463,2.51,Found,1979,-71.5,35.66667
Yamato 790306,2.52,Found,1979,-71.5,35.66667
Yamato 791584,2.52,Found,1979,-71.5,35.66667
Yamato 792930,2.53,Found,1979,-71.5,35.66667
Yamato 791789,2.55,Found,1979,-71.5,35.66667
Yamato 792624,2.57,Found,1979,-71.5,35.66667
Yamato 792969,2.57,Found,1979,-71.5,35.66667
Yamato 790676,2.58,Found,1979,-71.5,35.66667
Yamato 790914,2.58,Found,1979,-71.5,35.66667
Yamato 791309,2.58,Found,1979,-71.5,35.66667
Yamato 790092,2.59,Found,1979,-71.5,35.66667
Yamato 792729,2.59,Found,1979,-71.5,35.66667
Yamato 791292,2.6,Found,1979,-71.5,35.66667
Yamato 792591,2.6,Found,1979,-71.5,35.66667
Yamato 792650,2.6,Found,1979,-71.5,35.66667
Yamato 790683,2.61,Found,1979,-71.5,35.66667
Yamato 791133,2.61,Found,1979,-71.5,35.66667
Yamato 792711,2.61,Found,1979,-71.5,35.66667
Yamato 791278,2.62,Found,1979,-71.5,35.66667
Yamato 793555,2.62,Found,1979,-71.5,35.66667
Yamato 790042,2.64,Found,1979,-71.5,35.66667
Yamato 790219,2.64,Found,1979,-71.5,35.66667
Yamato 790710,2.64,Found,1979,-71.5,35.66667
Yamato 791673,2.64,Found,1979,-71.5,35.66667
Yamato 792967,2.65,Found,1979,-71.5,35.66667
Yamato 791287,2.66,Found,1979,-71.5,35.66667
Yamato 791175,2.67,Found,1979,-71.5,35.66667
Yamato 791279,2.67,Found,1979,-71.5,35.66667
Yamato 790099,2.68,Found,1979,-71.5,35.66667
Yamato 791288,2.68,Found,1979,-71.5,35.66667
Yamato 791689,2.68,Found,1979,-71.5,35.66667
Yamato 792605,2.68,Found,1979,-71.5,35.66667
Yamato 792968,2.68,Found,1979,-71.5,35.66667
Yamato 791298,2.69,Found,1979,-71.5,35.66667
Yamato 791894,2.69,Found,1979,-71.5,35.66667
Yamato 792604,2.69,Found,1979,-71.5,35.66667
Yamato 792980,2.69,Found,1979,-71.5,35.66667
Yamato 792606,2.7,Found,1979,-71.5,35.66667
Yamato 792895,2.7,Found,1979,-71.5,35.66667
Yamato 794022,2.7,Found,1979,-71.5,35.66667
Yamato 791183,2.71,Found,1979,-71.5,35.66667
Yamato 792710,2.71,Found,1979,-71.5,35.66667
Yamato 792619,2.72,Found,1979,-71.5,35.66667
Yamato 793304,2.72,Found,1979,-71.5,35.66667
Yamato 792648,2.73,Found,1979,-71.5,35.66667
Yamato 792649,2.73,Found,1979,-71.5,35.66667
Yamato 791290,2.74,Found,1979,-71.5,35.66667
Yamato 791358,2.74,Found,1979,-71.5,35.66667
Yamato 793458,2.74,Found,1979,-71.5,35.66667
Yamato 790243,2.76,Found,1979,-71.5,35.66667
Yamato 791291,2.77,Found,1979,-71.5,35.66667
Yamato 790714,2.78,Found,1979,-71.5,35.66667
Yamato 791357,2.78,Found,1979,-71.5,35.66667
Yamato 791792,2.78,Found,1979,-71.5,35.66667
Yamato 792587,2.78,Found,1979,-71.5,35.66667
Yamato 792610,2.78,Found,1979,-71.5,35.66667
Yamato 793441,2.78,Found,1979,-71.5,35.66667
Yamato 790709,2.79,Found,1979,-71.5,35.66667
Yamato 791713,2.79,Found,1979,-71.5,35.66667
Yamato 790351,2.8,Found,1979,-71.5,35.66667
Yamato 792946,2.8,Found,1979,-71.5,35.66667
Yamato 793319,2.8,Found,1979,-71.5,35.66667
Yamato 791305,2.81,Found,1979,-71.5,35.66667
Yamato 790120,2.82,Found,1979,-71.5,35.66667
Yamato 790330,2.82,Found,1979,-71.5,35.66667
Yamato 791521,2.82,Found,1979,-71.5,35.66667
Yamato 792347,2.82,Found,1979,-71.5,35.66667
Yamato 792603,2.83,Found,1979,-71.5,35.66667
Yamato 792627,2.83,Found,1979,-71.5,35.66667
Yamato 791308,2.84,Found,1979,-71.5,35.66667
Yamato 790497,2.85,Found,1979,-71.5,35.66667
Yamato 790708,2.85,Found,1979,-71.5,35.66667
Yamato 791520,2.85,Found,1979,-71.5,35.66667
Yamato 791643,2.85,Found,1979,-71.5,35.66667
Yamato 793492,2.85,Found,1979,-71.5,35.66667
Yamato 793262,2.89,Found,1979,-71.5,35.66667
Yamato 791699,2.91,Found,1979,-71.5,35.66667
Yamato 792734,2.91,Found,1979,-71.5,35.66667
Yamato 790677,2.92,Found,1979,-71.5,35.66667
Yamato 790681,2.92,Found,1979,-71.5,35.66667
Yamato 790888,2.92,Found,1979,-71.5,35.66667
Yamato 791547,2.92,Found,1979,-71.5,35.66667
Yamato 790301,2.93,Found,1979,-71.5,35.66667
Yamato 790694,2.93,Found,1979,-71.5,35.66667
Yamato 790896,2.93,Found,1979,-71.5,35.66667
Yamato 792611,2.93,Found,1979,-71.5,35.66667
Yamato 790878,2.94,Found,1979,-71.5,35.66667
Yamato 791182,2.95,Found,1979,-71.5,35.66667
Yamato 791848,2.95,Found,1979,-71.5,35.66667
Yamato 792607,2.95,Found,1979,-71.5,35.66667
Yamato 792609,2.95,Found,1979,-71.5,35.66667
Yamato 793362,2.95,Found,1979,-71.5,35.66667
Yamato 790297,2.96,Found,1979,-71.5,35.66667
Yamato 790498,2.96,Found,1979,-71.5,35.66667
Yamato 790665,2.97,Found,1979,-71.5,35.66667
Yamato 791780,2.98,Found,1979,-71.5,35.66667
Yamato 792614,2.98,Found,1979,-71.5,35.66667
Yamato 790293,2.99,Found,1979,-71.5,35.66667
Yamato 792348,2.99,Found,1979,-71.5,35.66667
Yamato 793206,2.99,Found,1979,-71.5,35.66667
Yamato 790715,3,Found,1979,-71.5,35.66667
Yamato 791330,3,Found,1979,-71.5,35.66667
Yamato 790883,3.02,Found,1979,-71.5,35.66667
Yamato 792616,3.02,Found,1979,-71.5,35.66667
Yamato 790447,3.03,Found,1979,-71.5,35.66667
Yamato 791391,3.03,Found,1979,-71.5,35.66667
Yamato 790088,3.04,Found,1979,-71.5,35.66667
Yamato 790873,3.04,Found,1979,-71.5,35.66667
Yamato 791125,3.04,Found,1979,-71.5,35.66667
Yamato 791280,3.04,Found,1979,-71.5,35.66667
Yamato 792602,3.04,Found,1979,-71.5,35.66667
Yamato 792617,3.04,Found,1979,-71.5,35.66667
Yamato 790711,3.05,Found,1979,-71.5,35.66667
Yamato 790877,3.05,Found,1979,-71.5,35.66667
Yamato 791651,3.05,Found,1979,-71.5,35.66667
Yamato 794033,3.05,Found,1979,-71.5,35.66667
Yamato 791301,3.06,Found,1979,-71.5,35.66667
Yamato 793491,3.06,Found,1979,-71.5,35.66667
Yamato 790868,3.07,Found,1979,-71.5,35.66667
Yamato 791307,3.07,Found,1979,-71.5,35.66667
Yamato 792592,3.07,Found,1979,-71.5,35.66667
Yamato 790480,3.08,Found,1979,-71.5,35.66667
Yamato 791392,3.08,Found,1979,-71.5,35.66667
Yamato 793433,3.08,Found,1979,-71.5,35.66667
Yamato 790291,3.09,Found,1979,-71.5,35.66667
Yamato 790891,3.09,Found,1979,-71.5,35.66667
Yamato 793183,3.09,Found,1979,-71.5,35.66667
Yamato 794075,3.1,Found,1979,-71.5,35.66667
Yamato 791498,3.11,Found,1979,-71.5,35.66667
Yamato 790439,3.12,Found,1979,-71.5,35.66667
Yamato 792628,3.12,Found,1979,-71.5,35.66667
Yamato 793395,3.12,Found,1979,-71.5,35.66667
Yamato 791433,3.13,Found,1979,-71.5,35.66667
Yamato 793189,3.13,Found,1979,-71.5,35.66667
Yamato 793476,3.15,Found,1979,-71.5,35.66667
Yamato 792801,3.16,Found,1979,-71.5,35.66667
Yamato 790094,3.17,Found,1979,-71.5,35.66667
Yamato 790698,3.17,Found,1979,-71.5,35.66667
Yamato 791153,3.17,Found,1979,-71.5,35.66667
Yamato 791759,3.17,Found,1979,-71.5,35.66667
Yamato 790688,3.19,Found,1979,-71.5,35.66667
Yamato 791575,3.19,Found,1979,-71.5,35.66667
Yamato 792615,3.19,Found,1979,-71.5,35.66667
Yamato 790693,3.22,Found,1979,-71.5,35.66667
Yamato 792708,3.22,Found,1979,-71.5,35.66667
Yamato 790887,3.23,Found,1979,-71.5,35.66667
Yamato 791465,3.23,Found,1979,-71.5,35.66667
Yamato 791815,3.24,Found,1979,-71.5,35.66667
Yamato 792979,3.24,Found,1979,-71.5,35.66667
Yamato 791660,3.25,Found,1979,-71.5,35.66667
Yamato 791582,3.26,Found,1979,-71.5,35.66667
Yamato 791897,3.26,Found,1979,-71.5,35.66667
Yamato 793359,3.26,Found,1979,-71.5,35.66667
Yamato 790856,3.27,Found,1979,-71.5,35.66667
Yamato 792515,3.28,Found,1979,-71.5,35.66667
Yamato 791282,3.29,Found,1979,-71.5,35.66667
Yamato 790295,3.31,Found,1979,-71.5,35.66667
Yamato 792975,3.31,Found,1979,-71.5,35.66667
Yamato 791890,3.32,Found,1979,-71.5,35.66667
Yamato 792953,3.32,Found,1979,-71.5,35.66667
Yamato 793530,3.33,Found,1979,-71.5,35.66667
Yamato 790685,3.34,Found,1979,-71.5,35.66667
Yamato 791602,3.35,Found,1979,-71.5,35.66667
Yamato 791654,3.35,Found,1979,-71.5,35.66667
Yamato 793198,3.35,Found,1979,-71.5,35.66667
Yamato 792913,3.37,Found,1979,-71.5,35.66667
Yamato 790089,3.39,Found,1979,-71.5,35.66667
Yamato 790978,3.39,Found,1979,-71.5,35.66667
Yamato 791104,3.39,Found,1979,-71.5,35.66667
Yamato 791128,3.39,Found,1979,-71.5,35.66667
Yamato 792911,3.4,Found,1979,-71.5,35.66667
Yamato 790349,3.42,Found,1979,-71.5,35.66667
Yamato 791362,3.42,Found,1979,-71.5,35.66667
Yamato 793199,3.42,Found,1979,-71.5,35.66667
Yamato 793430,3.42,Found,1979,-71.5,35.66667
Yamato 790901,3.43,Found,1979,-71.5,35.66667
Yamato 792647,3.43,Found,1979,-71.5,35.66667
Yamato 793568,3.43,Found,1979,-71.5,35.66667
Yamato 790864,3.44,Found,1979,-71.5,35.66667
Yamato 790870,3.44,Found,1979,-71.5,35.66667
Yamato 793328,3.44,Found,1979,-71.5,35.66667
Yamato 791915,3.47,Found,1979,-71.5,35.66667
Yamato 791939,3.47,Found,1979,-71.5,35.66667
Yamato 792828,3.47,Found,1979,-71.5,35.66667
Yamato 792816,3.48,Found,1979,-71.5,35.66667
Yamato 792817,3.48,Found,1979,-71.5,35.66667
Yamato 792909,3.48,Found,1979,-71.5,35.66667
Yamato 793578,3.48,Found,1979,-71.5,35.66667
Yamato 790695,3.49,Found,1979,-71.5,35.66667
Yamato 791294,3.5,Found,1979,-71.5,35.66667
Yamato 791184,3.51,Found,1979,-71.5,35.66667
Yamato 792596,3.51,Found,1979,-71.5,35.66667
Yamato 793303,3.51,Found,1979,-71.5,35.66667
Yamato 791270,3.53,Found,1979,-71.5,35.66667
Yamato 791485,3.53,Found,1979,-71.5,35.66667
Yamato 790495,3.54,Found,1979,-71.5,35.66667
Yamato 790682,3.54,Found,1979,-71.5,35.66667
Yamato 790687,3.54,Found,1979,-71.5,35.66667
Yamato 790866,3.55,Found,1979,-71.5,35.66667
Yamato 791388,3.55,Found,1979,-71.5,35.66667
Yamato 791888,3.55,Found,1979,-71.5,35.66667
Yamato 791892,3.55,Found,1979,-71.5,35.66667
Yamato 791893,3.55,Found,1979,-71.5,35.66667
Yamato 792707,3.55,Found,1979,-71.5,35.66667
Yamato 790875,3.56,Found,1979,-71.5,35.66667
Yamato 791276,3.56,Found,1979,-71.5,35.66667
Yamato 793200,3.56,Found,1979,-71.5,35.66667
Yamato 790148,3.57,Found,1979,-71.5,35.66667
Yamato 790697,3.57,Found,1979,-71.5,35.66667
Yamato 792925,3.57,Found,1979,-71.5,35.66667
Yamato 790021,3.58,Found,1979,-71.5,35.66667
Yamato 791714,3.59,Found,1979,-71.5,35.66667
Yamato 791942,3.59,Found,1979,-71.5,35.66667
Yamato 791296,3.6,Found,1979,-71.5,35.66667
Yamato 792513,3.6,Found,1979,-71.5,35.66667
Yamato 792767,3.6,Found,1979,-71.5,35.66667
Yamato 793195,3.6,Found,1979,-71.5,35.66667
Yamato 790296,3.61,Found,1979,-71.5,35.66667
Yamato 790943,3.61,Found,1979,-71.5,35.66667
Yamato 791724,3.61,Found,1979,-71.5,35.66667
Yamato 792595,3.61,Found,1979,-71.5,35.66667
Yamato 792709,3.61,Found,1979,-71.5,35.66667
Yamato 793358,3.61,Found,1979,-71.5,35.66667
Yamato 790869,3.63,Found,1979,-71.5,35.66667
Yamato 791177,3.64,Found,1979,-71.5,35.66667
Yamato 792584,3.64,Found,1979,-71.5,35.66667
Yamato 792844,3.64,Found,1979,-71.5,35.66667
Yamato 792966,3.65,Found,1979,-71.5,35.66667
Yamato 790244,3.66,Found,1979,-71.5,35.66667
Yamato 791423,3.66,Found,1979,-71.5,35.66667
Yamato 791758,3.66,Found,1979,-71.5,35.66667
Yamato 792835,3.67,Found,1979,-71.5,35.66667
Yamato 793261,3.67,Found,1979,-71.5,35.66667
Yamato 793357,3.67,Found,1979,-71.5,35.66667
Yamato 790874,3.68,Found,1979,-71.5,35.66667
Yamato 791817,3.68,Found,1979,-71.5,35.66667
Yamato 791889,3.68,Found,1979,-71.5,35.66667
Yamato 792594,3.68,Found,1979,-71.5,35.66667
Yamato 793566,3.68,Found,1979,-71.5,35.66667
Yamato 790667,3.69,Found,1979,-71.5,35.66667
Yamato 791274,3.72,Found,1979,-71.5,35.66667
Yamato 791299,3.72,Found,1979,-71.5,35.66667
Yamato 791756,3.72,Found,1979,-71.5,35.66667
Yamato 792598,3.72,Found,1979,-71.5,35.66667
Yamato 793554,3.72,Found,1979,-71.5,35.66667
Yamato 794079,3.72,Found,1979,-71.5,35.66667
Yamato 790686,3.74,Found,1979,-71.5,35.66667
Yamato 791389,3.74,Found,1979,-71.5,35.66667
Yamato 790707,3.76,Found,1979,-71.5,35.66667
Yamato 792601,3.76,Found,1979,-71.5,35.66667
Yamato 794088,3.76,Found,1979,-71.5,35.66667
Yamato 790862,3.78,Found,1979,-71.5,35.66667
Yamato 791798,3.78,Found,1979,-71.5,35.66667
Yamato 793453,3.78,Found,1979,-71.5,35.66667
Yamato 790038,3.79,Found,1979,-71.5,35.66667
Yamato 791286,3.79,Found,1979,-71.5,35.66667
Yamato 790872,3.8,Found,1979,-71.5,35.66667
Yamato 791760,3.8,Found,1979,-71.5,35.66667
Yamato 793300,3.8,Found,1979,-71.5,35.66667
Yamato 791761,3.81,Found,1979,-71.5,35.66667
Yamato 792600,3.81,Found,1979,-71.5,35.66667
Yamato 791281,3.82,Found,1979,-71.5,35.66667
Yamato 791386,3.83,Found,1979,-71.5,35.66667
Yamato 791757,3.83,Found,1979,-71.5,35.66667
Yamato 792883,3.83,Found,1979,-71.5,35.66667
Yamato 792599,3.84,Found,1979,-71.5,35.66667
Yamato 791267,3.86,Found,1979,-71.5,35.66667
Yamato 791352,3.86,Found,1979,-71.5,35.66667
Yamato 792705,3.86,Found,1979,-71.5,35.66667
Yamato 793207,3.87,Found,1979,-71.5,35.66667
Yamato 790664,3.88,Found,1979,-71.5,35.66667
Yamato 791126,3.91,Found,1979,-71.5,35.66667
Yamato 791589,3.91,Found,1979,-71.5,35.66667
Yamato 792720,3.91,Found,1979,-71.5,35.66667
Yamato 793216,3.91,Found,1979,-71.5,35.66667
Yamato 791387,3.92,Found,1979,-71.5,35.66667
Yamato 790086,3.93,Found,1979,-71.5,35.66667
Yamato 790706,3.93,Found,1979,-71.5,35.66667
Yamato 790881,3.93,Found,1979,-71.5,35.66667
Yamato 791297,3.93,Found,1979,-71.5,35.66667
Yamato 790699,3.94,Found,1979,-71.5,35.66667
Yamato 793527,3.94,Found,1979,-71.5,35.66667
Yamato 790299,3.95,Found,1979,-71.5,35.66667
Yamato 791289,3.96,Found,1979,-71.5,35.66667
Yamato 793389,3.96,Found,1979,-71.5,35.66667
Yamato 790413,3.97,Found,1979,-71.5,35.66667
Yamato 791513,3.97,Found,1979,-71.5,35.66667
Yamato 793429,3.97,Found,1979,-71.5,35.66667
Yamato 790024,3.99,Found,1979,-71.5,35.66667
Yamato 790882,3.99,Found,1979,-71.5,35.66667
Yamato 791163,3.99,Found,1979,-71.5,35.66667
Yamato 791295,3.99,Found,1979,-71.5,35.66667
Yamato 790890,4,Found,1979,-71.5,35.66667
Yamato 791174,4,Found,1979,-71.5,35.66667
Yamato 792811,4,Found,1979,-71.5,35.66667
Yamato 791619,4.01,Found,1979,-71.5,35.66667
Yamato 791011,4.02,Found,1979,-71.5,35.66667
Yamato 792706,4.02,Found,1979,-71.5,35.66667
Yamato 790350,4.03,Found,1979,-71.5,35.66667
Yamato 791180,4.03,Found,1979,-71.5,35.66667
Yamato 791272,4.03,Found,1979,-71.5,35.66667
